treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_raw
P,HOK,HOK ,SEK,A,2,5,11,1A,30,0.533
AB,HOK,HOK ,SEK,A,2,5,11,1B,30,0.414
P,SEK,HOK ,SEK,H,2,5,11,1C,30,0.36
AB,SEK,HOK ,SEK,H,2,5,11,1D,30,0.277
P,SEK,SEK ,SEK,H,2,5,11,1E,30,0.573
AB,SEK,SEK ,SEK,H,2,5,11,1F,30,0.344
P,HOK,SEK ,SEK,A,2,5,11,1G,30,0.977
AB,HOK,SEK ,SEK,A,2,5,11,1H,30,0.355
P,HOK,HOK ,SEK,A,2,5,11,2A,30,0.44
AB,HOK,HOK ,SEK,A,2,5,11,2B,30,0.346
P,SEK,HOK ,SEK,H,2,5,11,2C,30,0.609
AB,SEK,HOK ,SEK,H,2,5,11,2D,30,0.281
P,SEK,SEK ,SEK,H,2,5,11,2E,30,0.304
AB,SEK,SEK ,SEK,H,2,5,11,2F,30,0.28
P,HOK,SEK ,SEK,A,2,5,11,2G,30,0.986
AB,HOK,SEK ,SEK,A,2,5,11,2H,30,0.352
P,HOK,HOK ,SEK,A,2,5,11,3A,30,1.456
AB,HOK,HOK ,SEK,A,2,5,11,3B,30,0.71
P,SEK,HOK ,SEK,H,2,5,11,3C,30,1.39
AB,SEK,HOK ,SEK,H,2,5,11,3D,30,0.64
P,SEK,SEK ,SEK,H,2,5,11,3E,30,1.31
AB,SEK,SEK ,SEK,H,2,5,11,3F,30,1.524
P,HOK,SEK ,SEK,A,2,5,11,3G,30,1.123
AB,HOK,SEK ,SEK,A,2,5,11,3H,30,0.559
P,HOK,HOK ,SEK,A,2,4,11,4A,30,0.751
AB,HOK,HOK ,SEK,A,2,4,11,4B,30,1.311
P,SEK,HOK ,SEK,H,2,4,11,4C,30,0.277
AB,SEK,HOK ,SEK,H,2,4,11,4D,30,0.256
P,SEK,SEK ,SEK,H,2,4,11,4E,30,0.325
AB,SEK,SEK ,SEK,H,2,4,11,4F,30,1.81
P,HOK,SEK ,SEK,A,2,4,11,4G,30,0.478
AB,HOK,SEK ,SEK,A,2,4,11,4H,30,0.428
P,HOK,HOK ,SEK,A,2,4,11,5A,30,0.352
AB,HOK,HOK ,SEK,A,2,4,11,5B,30,0.493
P,SEK,HOK ,SEK,H,2,4,11,5C,30,0.301
AB,SEK,HOK ,SEK,H,2,4,11,5D,30,0.347
P,SEK,SEK ,SEK,H,2,4,11,5E,30,0.379
AB,SEK,SEK ,SEK,H,2,4,11,5F,30,1.001
P,HOK,SEK ,SEK,A,2,4,11,5G,30,0.421
AB,HOK,SEK ,SEK,A,2,4,11,5H,30,0.363
P,HOK,HOK ,HOK,H,2,4,11,6A,30,0.387
AB,HOK,HOK ,HOK,H,2,4,11,6B,30,0.957
P,SEK,HOK ,HOK,A,2,4,11,6C,30,0.311
AB,SEK,HOK ,HOK,A,2,4,11,6D,30,0.324
P,SEK,SEK ,HOK,A,2,4,11,6E,30,0.464
AB,SEK,SEK ,HOK,A,2,4,11,6F,30,0.49
P,HOK,SEK ,HOK,H,2,4,11,6G,30,0.263
AB,HOK,SEK ,HOK,H,2,4,11,6H,30,0.433
P,HOK,HOK ,HOK,H,2,3,11,7A,30,0.336
AB,HOK,HOK ,HOK,H,2,3,11,7B,30,0.543
P,SEK,HOK ,HOK,A,2,3,11,7C,30,2.13
AB,SEK,HOK ,HOK,A,2,3,11,7D,30,1.384
P,SEK,SEK ,HOK,A,2,3,11,7E,30,1.526
AB,SEK,SEK ,HOK,A,2,3,11,7F,30,0.652
P,HOK,SEK ,HOK,H,2,3,11,7G,30,1.418
AB,HOK,SEK ,HOK,H,2,3,11,7H,30,0.621
P,HOK,HOK ,HOK,H,2,3,11,8A,30,0.541
AB,HOK,HOK ,HOK,H,2,3,11,8B,30,1.588
P,SEK,HOK ,HOK,A,2,3,11,8C,30,0.458
AB,SEK,HOK ,HOK,A,2,3,11,8D,30,0.641
P,SEK,SEK ,HOK,A,2,3,11,8E,30,2.238
AB,SEK,SEK ,HOK,A,2,3,11,8F,30,1.233
P,HOK,SEK ,HOK,H,2,3,11,8G,30,0.867
AB,HOK,SEK ,HOK,H,2,3,11,8H,30,1.076
