treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,1,1A,30,,,,450
AB,HOK,HOK,SEK,2,5,1,1B,30,,,,450
P,SEK,HOK,SEK,2,5,1,1C,30,,,,450
AB,SEK,HOK,SEK,2,5,1,1D,30,,,,450
P,SEK,SEK,SEK,2,5,1,1E,30,,,,450
AB,SEK,SEK,SEK,2,5,1,1F,30,,,,450
P,HOK,SEK,SEK,2,5,1,1G,30,,,,450
AB,HOK,SEK,SEK,2,5,1,1H,30,,,,450
P,HOK,HOK,SEK,2,4,1,2A,30,,,,450
AB,HOK,HOK,SEK,2,4,1,2B,30,,,,450
P,SEK,HOK,SEK,2,4,1,2C,30,,,,450
AB,SEK,HOK,SEK,2,4,1,2D,30,,,,450
P,SEK,SEK,SEK,2,4,1,2E,30,,,,450
AB,SEK,SEK,SEK,2,4,1,2F,30,,,,450
P,HOK,SEK,SEK,2,4,1,2G,30,,,,450
AB,HOK,SEK,SEK,2,4,1,2H,30,,,,450
P,HOK,HOK,SEK,2,3,1,3A,30,,,,450
AB,HOK,HOK,SEK,2,3,1,3B,30,,,,450
P,SEK,HOK,SEK,2,3,1,3C,30,,,,450
AB,SEK,HOK,SEK,2,3,1,3D,30,,,,450
P,SEK,SEK,SEK,2,3,1,3E,30,,,,450
AB,SEK,SEK,SEK,2,3,1,3F,30,,,,450
P,HOK,SEK,SEK,2,3,1,3G,30,,,,450
AB,HOK,SEK,SEK,2,3,1,3H,30,,,,450
P,HOK,HOK,SEK,2,2,1,4A,30,,,,450
AB,HOK,HOK,SEK,2,2,1,4B,30,,,,450
P,SEK,HOK,SEK,2,2,1,4C,30,,,,450
AB,SEK,HOK,SEK,2,2,1,4D,30,,,,450
P,SEK,SEK,SEK,2,2,1,4E,30,,,,450
AB,SEK,SEK,SEK,2,2,1,4F,30,,,,450
P,HOK,SEK,SEK,2,2,1,4G,30,,,,450
AB,HOK,SEK,SEK,2,2,1,4H,30,,,,450
P,HOK,HOK,SEK,2,1,1,5A,30,,,,450
AB,HOK,HOK,SEK,2,1,1,5B,30,,,,450
P,SEK,HOK,SEK,2,1,1,5C,30,,,,450
AB,SEK,HOK,SEK,2,1,1,5D,30,,,,450
P,SEK,SEK,SEK,2,1,1,5E,30,,,,450
AB,SEK,SEK,SEK,2,1,1,5F,30,,,,450
P,HOK,SEK,SEK,2,1,1,5G,30,,,,450
AB,HOK,SEK,SEK,2,1,1,5H,30,,,,450
P,HOK,HOK,HOK,2,5,1,6A,30,,,,450
AB,HOK,HOK,HOK,2,5,1,6B,30,,,,450
P,SEK,HOK,HOK,2,5,1,6C,30,,,,450
AB,SEK,HOK,HOK,2,5,1,6D,30,,,,450
P,SEK,SEK,HOK,2,5,1,6E,30,,,,450
AB,SEK,SEK,HOK,2,5,1,6F,30,,,,450
P,HOK,SEK,HOK,2,5,1,6G,30,,,,450
AB,HOK,SEK,HOK,2,5,1,6H,30,,,,450
P,HOK,HOK,HOK,2,4,1,7A,30,,,,450
AB,HOK,HOK,HOK,2,4,1,7B,30,,,,450
P,SEK,HOK,HOK,2,4,1,7C,30,,,,450
AB,SEK,HOK,HOK,2,4,1,7D,30,,,,450
P,SEK,SEK,HOK,2,4,1,7E,30,,,,450
