treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_corrected
P,HOK,HOK ,SEK,A,2,5,5,1A,30,0.38775
AB,HOK,HOK ,SEK,A,2,5,5,1B,30,0.53275
P,SEK,HOK ,SEK,H,2,5,5,1C,30,0.54675
AB,SEK,HOK ,SEK,H,2,5,5,1D,30,0.32575
P,SEK,SEK ,SEK,H,2,5,5,1E,30,1.36375
AB,SEK,SEK ,SEK,H,2,5,5,1F,30,0.23075
P,HOK,SEK ,SEK,A,2,5,5,1G,30,0.56275
AB,HOK,SEK ,SEK,A,2,5,5,1H,30,0.88475
P,HOK,HOK ,SEK,A,2,5,5,2A,30,0.41275
AB,HOK,HOK ,SEK,A,2,5,5,2B,30,0.72175
P,SEK,HOK ,SEK,H,2,5,5,2C,30,0.59575
AB,SEK,HOK ,SEK,H,2,5,5,2D,30,0.28475
P,SEK,SEK ,SEK,H,2,5,5,2E,30,0.30075
AB,SEK,SEK ,SEK,H,2,5,5,2F,30,0.24275
P,HOK,SEK ,SEK,A,2,5,5,2G,30,1.02875
AB,HOK,SEK ,SEK,A,2,5,5,2H,30,0.30375
P,HOK,HOK ,SEK,A,2,5,5,3A,30,0.25975
AB,HOK,HOK ,SEK,A,2,5,5,3B,30,0.47375
P,SEK,HOK ,SEK,H,2,5,5,3C,30,1.53675
AB,SEK,HOK ,SEK,H,2,5,5,3D,30,0.15875
P,SEK,SEK ,SEK,H,2,5,5,3E,30,0.84275
AB,SEK,SEK ,SEK,H,2,5,5,3F,30,0.24975
P,HOK,SEK ,SEK,A,2,5,5,3G,30,0.23275
AB,HOK,SEK ,SEK,A,2,5,5,3H,30,0.26275
P,HOK,HOK ,SEK,A,2,4,5,4A,30,0.30275
AB,HOK,HOK ,SEK,A,2,4,5,4B,30,0.60075
P,SEK,HOK ,SEK,H,2,4,5,4C,30,0.38475
AB,SEK,HOK ,SEK,H,2,4,5,4D,30,1.06475
P,SEK,SEK ,SEK,H,2,4,5,4E,30,1.27075
AB,SEK,SEK ,SEK,H,2,4,5,4F,30,0.29775
P,HOK,SEK ,SEK,A,2,4,5,4G,30,0.84875
AB,HOK,SEK ,SEK,A,2,4,5,4H,30,0.26575
P,HOK,HOK ,SEK,A,2,4,5,5A,30,1.44275
AB,HOK,HOK ,SEK,A,2,4,5,5B,30,1.04075
P,SEK,HOK ,SEK,H,2,4,5,5C,30,0.99275
AB,SEK,HOK ,SEK,H,2,4,5,5D,30,0.88875
P,SEK,SEK ,SEK,H,2,4,5,5E,30,1.64275
AB,SEK,SEK ,SEK,H,2,4,5,5F,30,1.54575
P,HOK,SEK ,SEK,A,2,4,5,5G,30,0.47075
AB,HOK,SEK ,SEK,A,2,4,5,5H,30,1.65675
P,HOK,HOK ,HOK,H,2,4,5,6A,30,1.36275
AB,HOK,HOK ,HOK,H,2,4,5,6B,30,0.30675
P,SEK,HOK ,HOK,A,2,4,5,6C,30,0.81575
AB,SEK,HOK ,HOK,A,2,4,5,6D,30,0.36575
P,SEK,SEK ,HOK,A,2,4,5,6E,30,1.46375
AB,SEK,SEK ,HOK,A,2,4,5,6F,30,1.28675
P,HOK,SEK ,HOK,H,2,4,5,6G,30,1.03375
AB,HOK,SEK ,HOK,H,2,4,5,6H,30,1.45475
P,HOK,HOK ,HOK,H,2,3,5,7A,30,1.18475
AB,HOK,HOK ,HOK,H,2,3,5,7B,30,0.18875
P,SEK,HOK ,HOK,A,2,3,5,7C,30,0.75175
AB,SEK,HOK ,HOK,A,2,3,5,7D,30,0.24575
P,SEK,SEK ,HOK,A,2,3,5,7E,30,1.08475
AB,SEK,SEK ,HOK,A,2,3,5,7F,30,0.63375
P,HOK,SEK ,HOK,H,2,3,5,7G,30,1.25775
AB,HOK,SEK ,HOK,H,2,3,5,7H,30,1.32675
P,HOK,HOK ,HOK,H,2,3,5,8A,30,0.46675
AB,HOK,HOK ,HOK,H,2,3,5,8B,30,0.21075
P,SEK,HOK ,HOK,A,2,3,5,8C,30,0.32375
AB,SEK,HOK ,HOK,A,2,3,5,8D,30,0.80375
P,SEK,SEK ,HOK,A,2,3,5,8E,30,1.54775
AB,SEK,SEK ,HOK,A,2,3,5,8F,30,0.20275
P,HOK,SEK ,HOK,H,2,3,5,8G,30,0.91775
AB,HOK,SEK ,HOK,H,2,3,5,8H,30,0.44975
P,HOK,HOK ,HOK,H,2,3,5,9A,30,0.34475
AB,HOK,HOK ,HOK,H,2,3,5,9B,30,0.34075
P,SEK,HOK ,HOK,A,2,3,5,9C,30,0.35975
AB,SEK,HOK ,HOK,A,2,3,5,9D,30,0.29175
P,SEK,SEK ,HOK,A,2,3,5,9E,30,1.34875
AB,SEK,SEK ,HOK,A,2,3,5,9F,30,0.31275
P,HOK,SEK ,HOK,H,2,3,5,9G,30,0.98375
AB,HOK,SEK ,HOK,H,2,3,5,9H,30,0.51775
P,HOK,HOK ,HOK,H,2,2,5,10A,30,0.67975
AB,HOK,HOK ,HOK,H,2,2,5,10B,30,1.24375
P,SEK,HOK ,HOK,A,2,2,5,10C,30,1.47075
AB,SEK,HOK ,HOK,A,2,2,5,10D,30,1.27375
P,SEK,SEK ,HOK,A,2,2,5,10E,30,0.67775
AB,SEK,SEK ,HOK,A,2,2,5,10F,30,1.06675
P,HOK,SEK ,HOK,H,2,2,5,10G,30,1.26375
AB,HOK,SEK ,HOK,H,2,2,5,10H,30,1.23775
P,HOK,HOK ,SEK,A,1,5,5,1A,30,0.6385
AB,HOK,HOK ,SEK,A,1,5,5,1B,30,0.3505
P,SEK,HOK ,SEK,H,1,5,5,1C,30,1.2875
AB,SEK,HOK ,SEK,H,1,5,5,1D,30,1.3805
P,SEK,SEK ,SEK,H,1,5,5,1E,30,0.2735
AB,SEK,SEK ,SEK,H,1,5,5,1F,30,0.2105
P,HOK,SEK ,SEK,A,1,5,5,1G,30,1.2505
AB,HOK,SEK ,SEK,A,1,5,5,1H,30,0.3365
P,HOK,HOK ,SEK,A,1,5,5,2A,30,1.1635
AB,HOK,HOK ,SEK,A,1,1,5,2B,30,1.5015
P,SEK,HOK ,SEK,H,1,1,5,2C,30,1.3485
AB,SEK,HOK ,SEK,H,1,1,5,2D,30,1.5865
P,SEK,SEK ,SEK,H,1,1,5,2E,30,0.7975
AB,SEK,SEK ,SEK,H,1,1,5,2F,30,0.3595
P,HOK,SEK ,SEK,A,1,1,5,2G,30,0.5795
AB,HOK,SEK ,SEK,A,1,1,5,2H,30,1.5915
P,HOK,HOK ,SEK,A,1,1,5,3A,30,0.9735
AB,HOK,HOK ,SEK,A,1,1,5,3B,30,1.1025
P,SEK,HOK ,SEK,H,1,1,5,3C,30,1.2645
AB,SEK,HOK ,SEK,H,1,1,5,3D,30,0.3205
P,SEK,SEK ,SEK,H,1,1,5,3E,30,0.6165
AB,SEK,SEK ,SEK,H,1,1,5,3F,30,0.7705
P,HOK,SEK ,SEK,A,1,1,5,3G,30,1.6605
AB,HOK,SEK ,SEK,A,1,1,5,3H,30,0.2405
P,HOK,HOK ,SEK,A,1,1,5,4A,30,0.3895
AB,HOK,HOK ,SEK,A,1,1,5,4B,30,0.4505
P,SEK,HOK ,SEK,H,1,1,5,4C,30,0.9195
AB,SEK,HOK ,SEK,H,1,1,5,4D,30,1.1115
P,SEK,SEK ,SEK,H,1,1,5,4E,30,0.3285
AB,SEK,SEK ,SEK,H,1,1,5,4F,30,0.5545
P,HOK,SEK ,SEK,A,1,1,5,4G,30,0.7975
AB,HOK,SEK ,SEK,A,1,1,5,4H,30,0.4755
P,HOK,HOK ,SEK,A,1,1,5,5A,30,0.3705
AB,HOK,HOK ,SEK,A,1,1,5,5B,30,1.0655
P,SEK,HOK ,SEK,H,1,1,5,5C,30,1.3655
AB,SEK,HOK ,SEK,H,1,1,5,5D,30,1.7085
P,SEK,SEK ,SEK,H,1,1,5,5E,30,0.2905
AB,SEK,SEK ,SEK,H,1,1,5,5F,30,0.3955
P,HOK,SEK ,SEK,A,1,1,5,5G,30,1.0455
AB,HOK,SEK ,SEK,A,1,1,5,5H,30,0.5575
P,HOK,HOK ,HOK,H,1,5,5,6A,30,0.3835
AB,HOK,HOK ,HOK,H,1,5,5,6B,30,0.0715
P,SEK,HOK ,HOK,A,1,5,5,6C,30,0.5855
AB,SEK,HOK ,HOK,A,1,5,5,6D,30,0.3485
P,SEK,SEK ,HOK,A,1,5,5,6E,30,1.3925
AB,SEK,SEK ,HOK,A,1,5,5,6F,30,1.2575
P,HOK,SEK ,HOK,H,1,5,5,6G,30,0.6755
AB,HOK,SEK ,HOK,H,1,5,5,6H,30,0.3945
P,HOK,HOK ,HOK,H,1,5,5,7A,30,0.4625
AB,HOK,HOK ,HOK,H,1,5,5,7B,30,0.2085
P,SEK,HOK ,HOK,A,1,5,5,7C,30,0.8835
AB,SEK,HOK ,HOK,A,1,5,5,7D,30,0.2605
P,SEK,SEK ,HOK,A,1,5,5,7E,30,1.2705
AB,SEK,SEK ,HOK,A,1,5,5,7F,30,0.2135
P,HOK,SEK ,HOK,H,1,5,5,7G,30,0.3355
AB,HOK,SEK ,HOK,H,1,5,5,7H,30,0.4255
P,HOK,HOK ,HOK,H,1,5,5,8A,30,0.3425
AB,HOK,HOK ,HOK,H,1,5,5,8B,30,0.2935
P,SEK,HOK ,HOK,A,1,5,5,8C,30,0.3025
AB,SEK,HOK ,HOK,A,1,5,5,8D,30,0.3165
P,SEK,SEK ,HOK,A,1,5,5,8E,30,0.8595
AB,SEK,SEK ,HOK,A,1,5,5,8F,30,1.1995
P,HOK,SEK ,HOK,H,1,5,5,8G,30,1.2685
AB,HOK,SEK ,HOK,H,1,5,5,8H,30,1.5015
P,HOK,HOK ,HOK,H,1,4,5,9A,30,0.6805
AB,HOK,HOK ,HOK,H,1,4,5,9B,30,0.4085
P,SEK,HOK ,HOK,A,1,4,5,9C,30,0.4275
AB,SEK,HOK ,HOK,A,1,4,5,9D,30,0.3945
P,SEK,SEK ,HOK,A,1,4,5,9E,30,0.3535
AB,SEK,SEK ,HOK,A,1,4,5,9FR,30,0.4735
P,HOK,SEK ,HOK,H,1,4,5,9G,30,1.9595
AB,HOK,SEK ,HOK,H,1,4,5,9H,30,1.1545
P,HOK,HOK ,HOK,H,1,4,5,10A,30,0.9535
AB,HOK,HOK ,HOK,H,1,4,5,10B,30,0.8225
P,SEK,HOK ,HOK,A,1,4,5,10C,30,0.3595
AB,SEK,HOK ,HOK,A,1,4,5,10D,30,0.7525
P,SEK,SEK ,HOK,A,1,4,5,10E,30,0.3725
AB,SEK,SEK ,HOK,A,1,4,5,10F,30,0.3555
P,HOK,SEK ,HOK,H,1,4,5,10G,30,0.4955
AB,HOK,SEK ,HOK,H,1,4,5,10H,30,0.3855
P,HOK,HOK ,SEK,A,2,5,5,1A,120,0.4815
AB,HOK,HOK ,SEK,A,2,5,5,1B,120,1.0405
P,SEK,HOK ,SEK,H,2,5,5,1C,120,0.5415
AB,SEK,HOK ,SEK,H,2,5,5,1D,120,0.8075
P,SEK,SEK ,SEK,H,2,5,5,1E,120,1.2515
AB,SEK,SEK ,SEK,H,2,5,5,1F,120,0.2055
P,HOK,SEK ,SEK,A,2,5,5,1G,120,0.3545
AB,HOK,SEK ,SEK,A,2,5,5,1H,120,0.9305
P,HOK,HOK ,SEK,A,2,5,5,2A,120,0.4275
AB,HOK,HOK ,SEK,A,2,5,5,2B,120,0.7845
P,SEK,HOK ,SEK,H,2,5,5,2C,120,0.3505
AB,SEK,HOK ,SEK,H,2,5,5,2D,120,0.2865
P,SEK,SEK ,SEK,H,2,5,5,2E,120,0.4195
AB,SEK,SEK ,SEK,H,2,5,5,2F,120,0.2375
P,HOK,SEK ,SEK,A,2,5,5,2G,120,0.5575
AB,HOK,SEK ,SEK,A,2,5,5,2H,120,0.3025
P,HOK,HOK ,SEK,A,2,5,5,3A,120,0.2585
AB,HOK,HOK ,SEK,A,2,5,5,3B,120,0.5885
P,SEK,HOK ,SEK,H,2,5,5,3C,120,1.3875
AB,SEK,HOK ,SEK,H,2,5,5,3D,120,0.1335
P,SEK,SEK ,SEK,H,2,5,5,3E,120,1.0185
AB,SEK,SEK ,SEK,H,2,5,5,3F,120,0.2715
P,HOK,SEK ,SEK,A,2,5,5,3G,120,0.2375
AB,HOK,SEK ,SEK,A,2,5,5,3H,120,0.3185
P,HOK,HOK ,SEK,A,2,4,5,4A,120,0.4435
